pool,model,arm,metric,estimate,ci_low,ci_high,cluster_unit,n_families,weighting,bootstrap_draws
deepseek_clean,deepseek-v4-flash,single_shot_v3,action,0.15327380952380953,0.05357142857142857,0.2648809523809524,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-flash,staged_v4,action,0.11607142857142858,0.05357142857142857,0.18898809523809526,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,single_shot_v3,action,0.20238095238095238,0.08630952380952382,0.33035714285714285,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,staged_v4,action,0.22321428571428573,0.10714285714285714,0.3511904761904762,task_family,14,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,single_shot_v3,action,0.2280448717948718,0.08413461538461539,0.40352564102564104,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,staged_v4,action,0.13637820512820514,0.0625,0.22115384615384615,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,single_shot_v3,action,0.2966346153846154,0.1235576923076923,0.4947115384615385,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,staged_v4,action,0.1264423076923077,0.04871794871794872,0.22419871794871796,task_family,13,equal_family_macro_average,10000
glm_supplementary,glm-5.2,single_shot_v3,action,0.1875,0.08928571428571429,0.3050595238095238,task_family,14,equal_family_macro_average,10000
glm_supplementary,glm-5.2,staged_v4,action,0.17261904761904762,0.10119047619047619,0.25297619047619047,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-flash,single_shot_v3,pass,0.005952380952380952,0.0,0.017857142857142856,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-flash,staged_v4,pass,0.004464285714285714,0.0,0.013392857142857142,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,single_shot_v3,pass,0.002976190476190476,0.0,0.008928571428571428,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,staged_v4,pass,0.007440476190476191,0.0,0.022321428571428572,task_family,14,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,single_shot_v3,pass,0.03365384615384615,0.0,0.10096153846153846,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,staged_v4,pass,0.0,0.0,0.0,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,single_shot_v3,pass,0.03365384615384615,0.0,0.10096153846153846,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,staged_v4,pass,0.0,0.0,0.0,task_family,13,equal_family_macro_average,10000
glm_supplementary,glm-5.2,single_shot_v3,pass,0.0,0.0,0.0,task_family,14,equal_family_macro_average,10000
glm_supplementary,glm-5.2,staged_v4,pass,0.0,0.0,0.0,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-flash,single_shot_v3,action_to_pass,0.015037593984962405,0.0,0.045112781954887216,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-flash,staged_v4,action_to_pass,0.01948051948051948,0.0,0.05844155844155844,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,single_shot_v3,action_to_pass,0.011904761904761904,0.0,0.03571428571428571,task_family,14,equal_family_macro_average,10000
deepseek_clean,deepseek-v4-pro,staged_v4,action_to_pass,0.044642857142857144,0.0,0.13392857142857142,task_family,14,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,single_shot_v3,action_to_pass,0.03365384615384615,0.0,0.10096153846153846,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-flash,staged_v4,action_to_pass,0.0,0.0,0.0,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,single_shot_v3,action_to_pass,0.03365384615384615,0.0,0.10096153846153846,task_family,13,equal_family_macro_average,10000
deepseek_extension,deepseek-v4-pro,staged_v4,action_to_pass,0.0,0.0,0.0,task_family,13,equal_family_macro_average,10000
glm_supplementary,glm-5.2,single_shot_v3,action_to_pass,0.0,0.0,0.0,task_family,14,equal_family_macro_average,10000
glm_supplementary,glm-5.2,staged_v4,action_to_pass,0.0,0.0,0.0,task_family,14,equal_family_macro_average,10000
